6248;131.37;260.737;5229.49;157;25.8162;9.726
2114.97;56.1939;97.7716;3601.37;27;39.8544;17.395
1164.74;45.0019;63.9749;2026.36;22;42.8624;2.375
2192.61;55.335;93.4638;3336.69;25;38.2677;12.987
1168.13;53.475;63.4258;2812.04;17;39.8232;5.562
2124.26;62.2165;90.9051;2420.26;68;39.9775;14.014
3732.93;71.8185;133.02;3428.72;21;35.1539;14.307
2547.01;90.0116;117.026;4274.11;103;33.3403;4.786
2682.04;99.4986;160.406;4141.77;75;33.2323;0.597
2549.7;66.2801;134.424;3178.93;44;36.5519;19.471
5336.33;85.3488;228.008;5772.5;104;28.5364;19.541
4025.42;200.833;250.612;5301.93;284;24.9407;1.707
2127.19;88.7824;106.115;3322.4;27;37.7619;7.719
3859.8;145.557;187.1;4800.12;100;29.0516;19.031
2293.38;97.1939;125.946;4406.82;39;32.7496;2.54
2183.14;63.5459;100.703;3121.59;18;40.2996;1.62
2275.84;64.3785;85.7568;3430.13;74;37.0221;14.451
1434.99;43.6804;65.5956;2524.74;43;42.7808;10.7
2574.14;52.0932;114.639;3889.6;26;36.0445;14.744
2922.4;157.325;185.562;4185.27;62;31.8218;2.001
2290.52;45.9514;85.1854;2556.66;39;42.6898;9.502
2800.07;74.6886;116.545;3936.24;38;33.7705;16.489
3483.86;38.5302;120.883;3898.68;85;38.2897;16.861
1928.44;55.3075;90.0879;2429.71;25;41.5172;7.709
4958.98;102.735;169.894;4191.26;67;32.9828;11.196
1116.13;57.6882;74.8081;2649.52;24;40.7863;1.259
2657.96;63;99.356;3242.14;28;38.8903;1.308
3486;212.809;244.054;5101.51;148;25.3752;4.019
4112.86;163.922;214.214;4927.93;43;27.1584;2.66
4176.39;164.887;188.556;4862.49;61;28.4846;4.696
1967.46;68.4013;79.4927;3693.36;74;38.6164;3.58
4600.87;158.776;217.106;4726.06;64;28.5601;4.225
3673.28;155.657;190.74;4745.77;78;29.0838;2.408
2899.14;69.1241;138.459;4334.85;7;33.154;7.633
3623.23;102.004;150.814;4601.06;120;31.1182;16.306
2211.55;90.7685;135.242;3828.57;34;30.6645;5.204
2586.71;67.9097;107.539;3092.22;40;39.5324;16.475
2003.24;84.5573;125.65;3129.74;4;36.9864;0.647
2480.66;61.0407;104.731;2767.93;32;40.1347;18.984
2678.82;121.933;150.736;4313.61;68;32.9661;4.635
1907.53;68.8851;98.5949;3114.16;20;37.5996;2.395
3051.84;81.6815;110.582;3623.31;28;36.3253;11.376
4823.71;99.396;180.92;4094.79;47;33.3562;18.242
2137.67;33.2291;70.5348;1653.3;39;44.9336;15.928
2144.7;57.2757;100.955;2913.93;15;38.6264;5.652
5587.31;206.693;269.656;6137;246;21.934;2.351
1780.71;67.466;79.4929;3006;31;40.4661;1.852
6977.62;259.555;331.927;5545.56;139;23.3018;4.105
2014.21;59.3272;91.0821;3189.03;27;38.5358;8.413
1540.7;70.8151;91.1852;3185.82;46;39.131;12.228
3670.91;126.764;164.489;4898.56;70;29.051;3.317
4251.36;175.349;230.894;4504.94;25;30.0785;2.803
1235.68;34.6864;49.785;1364.94;34;44.6544;11.404
2539.33;57.8653;99.793;2947.52;11;38.2708;12.661
2140.11;96.0488;97.7347;4002.35;14;36.7452;6.974
2290.14;50.3814;93.7626;3899.96;34;37.509;11.533
1713.8;53.7129;75.9776;3229.48;52;39.8182;2.322
4782.41;162.125;230.214;4766.99;103;28.9236;6.128
1094.14;58.0753;64.668;2999.04;34;38.2889;17.726
1731.4;84.363;122.578;3583.44;96;38.3041;18.568
2057.07;66.6182;96.0069;3064.05;55;39.2259;4.204
2110.11;97.8518;128.357;3997.26;47;35.0869;3.756
1951.89;86.3387;97.6918;3759.4;64;35.4199;3.399
3048.23;60.0247;112.365;3918.99;77;36.0453;16.603
1312.72;40.6577;59.0011;2595.21;57;41.6938;4.402
2144.38;45.2132;92.3981;2578.23;33;41.7571;11.403
6223.71;209.433;314.332;6596.12;265;24.4139;17.008
6744.4;243.217;267.523;5634.7;114;22.4298;2.358
5177.45;163.663;211.837;4996.08;79;27.5044;5.4
1050.45;55.4867;64.3761;2993.73;12;39.9338;3.973
1303.39;25.6829;45.5509;1446.34;16;45.5846;9.75
2438.71;90.1977;133.834;3974.55;34;34.6692;17.987
3689.68;100.531;176.627;3668.55;130;34.8231;19.252
1741.93;42.3724;66.8685;2883.56;51;37.7907;3.526
3498.64;117.303;158.503;3669.71;155;36.0225;17.682
2722.02;79.4848;114.914;4407.36;64;34.214;4.841
1647.68;64.2898;88.6381;2862.19;78;38.9359;5.525
4149.06;188.928;224.308;5591.38;141;22.8253;1.101
6810.63;254.793;339.794;5548.79;69;23.165;3.531
4314.2;138.527;205.479;4399.77;91;31.2542;17.514
1953.25;54.5619;81.8578;2360.37;43;41.4924;14.66
1136.55;45.9736;70.9922;2852.09;58;40.2008;1.043
4020.17;150.641;196.645;4680.62;34;29.5894;2.878
2954.92;128.728;159.407;3855.75;22;32.6841;2.787
1449.24;75.9565;101.904;3524.49;31;37.6154;8.014
4835.73;141.774;202.774;4547.58;174;30.1289;4.009
2283.01;48.4476;103.239;2208.51;43;42.2603;7.069
1768.68;61.4863;88.6788;2676.52;26;41.08;4.505
5528.2;103.047;221.715;4873.33;76;31.7337;20.032
2907.16;100.714;140.282;3887.03;17;34.624;5.259
2359.37;87.7108;94.4821;3783.17;24;34.8164;11.808
4391.91;177.768;241.491;4341.08;37;30.0177;5.248
2662.65;97.6645;163.081;4147.26;74;33.1873;0.639
6211.05;238.807;281.706;5585.03;142;20.6939;2.378
3289.88;95.6102;149.449;3805.41;62;36.252;15.046
1393.58;67.0089;88.5438;3121.83;66;39.5447;12.951
3160.41;71.1874;118.999;3093.33;87;39.0601;15.482
3664.12;192.966;220.066;4575.84;178;29.1416;1.611
4388.63;241.386;266.94;4807.68;285;27.5003;4.052
3206.91;148.646;174.952;4683.91;28;29.0243;1.502
3455.57;127.037;173.058;4463.94;48;30.7803;3.281
2882.55;75.7976;124.457;3407.27;43;36.9368;2.758
1928.45;58.7719;95.4863;3379.23;23;41.3394;0
2646.68;91.1684;136.085;3981.74;40;35.6039;5.055
3000.9;146.741;201.477;4185.32;69;28.9619;1.973
